Order,Family,Species,Occurrence,FishBase name,Name
Perciformes,Acanthuridae,Prionurus maculatus,native ,Yellowspotted sawtail ,Yellowspotted sawtail 
Perciformes,Acanthuridae,Prionurus microlepidotus,native ,Sixplate sawtail ,Sixplate sawtail 
Lophiiformes,Antennariidae,Antennarius commerson,native ,Commerson's frogfish ,Giant anglerfish 
Lophiiformes,Antennariidae,Antennarius hispidus,native ,Shaggy angler ,Shaggy anglerfish 
Lophiiformes,Antennariidae,Antennarius pictus,native ,Painted frogfish ,Painted anglerfish 
Lophiiformes,Antennariidae,Antennarius striatus,native ,Striated frogfish ,Striate anglerfish 
Lophiiformes,Antennariidae,Antennatus coccineus,native ,Scarlet frogfish ,Freckled anglerfish 
Lophiiformes,Antennariidae,Antennatus nummifer,native ,Spotfin frogfish ,Spotfin anglerfish 
Lophiiformes,Antennariidae,Histiophryne bougainvilli,native ,Bougainvilles anglerfish ,Smooth anglerfish 
Lophiiformes,Antennariidae,Histiophryne cryptacanthus,native ,Cryptic anglerfish ,Rodless anglerfish 
Lophiiformes,Antennariidae,Histrio histrio,native ,Sargassumfish ,Sargassum fish 
Perciformes,Apogonidae,Apogon crassiceps,native ,Transparent cardinalfish ,Ruby cardinalfish 
Perciformes,Apogonidae,Apogon semiornatus,native ,Oblique-banded cardinalfish ,Halfband cardinalfish 
Perciformes,Apogonidae,Apogonichthyoides chrysurus,native ,Golden cardinalfish ,Golden cardinalfish 
Perciformes,Apogonidae,Apogonichthyoides nigripinnis,native ,Bullseye ,Two-eye cardinalfish 
Perciformes,Apogonidae,Cheilodipterus quinquelineatus,native ,Five-lined cardinalfish ,Fiveline cardinalfish 
Perciformes,Apogonidae,Ostorhinchus aureus,native ,Ring-tailed cardinalfish ,Ringtail cardinalfish 
Perciformes,Apogonidae,Ostorhinchus capricornis,native ,Capricorn cardinalfish ,Capricorn cardinalfish 
Perciformes,Apogonidae,Ostorhinchus cyanosoma,native ,Yellowstriped cardinalfish ,Orangelined cardinalfish 
Perciformes,Apogonidae,Ostorhinchus doederleini,native ,Doederlein's cardinalfish ,Fourline cardinalfish 
Perciformes,Apogonidae,Ostorhinchus fasciatus,native ,Broadbanded cardinalfish ,Striped cardinalfish 
Perciformes,Apogonidae,Ostorhinchus hartzfeldii,native ,Hartzfeld's cardinalfish ,Silverlined cardinalfish 
Perciformes,Apogonidae,Ostorhinchus norfolcensis,native ,Norfolk cardinalfish ,Norfolk cardinalfish 
Perciformes,Apogonidae,Ostorhinchus properuptus,native ,Southern orange-lined cardinal fish ,Coral cardinalfish 
Perciformes,Apogonidae,Ostorhinchus taeniophorus,native ,Reef-flat cardinalfish ,Pearly-line cardinalfish 
Perciformes,Apogonidae,Pristiapogon fraenatus,native ,Bridled cardinalfish ,Spinyeye cardinalfish 
Perciformes,Apogonidae,Pseudamia gelatinosa,native ,Gelatinous cardinalfish ,Gelatinous cardinalfish 
