site,utc_date,utc_time,local_date,local_time,feature,feature_name,location,station,latitude,longitude,sst,temperature,salinity,chlorophyll_fluorescence,dissolved_oxygen,net_id,net_number,depth_range,mesh,start_time,end_time,volume_start,volume_end,volume
1,3/6/15,11:05,3/6/15,21:05,coastal,"EAC, Brisbane",north,1,-29.04194444,155.8883333,23.3,21.32213195,35.6029648,21.535,4.447851986,EZ01_2,M2,100-48,500,21:21,21:30,0,793.4,793.4
1,3/6/15,11:05,3/6/15,21:05,coastal,"EAC, Brisbane",north,1,-29.04194444,155.8883333,23.3,21.8995023,35.61774609,21.535,4.503195952,EZ01_3,M3,100-51,500,21:33,21:42,0,769.2,769.2
1,3/6/15,11:05,3/6/15,21:05,coastal,"EAC, Brisbane",north,1,-29.04194444,155.8883333,23.3,23.55076586,35.61593086,23.449,4.979123596,EZ01_4,M4,51-10,500,21:43,21:52,0,657.9,657.9
1,3/6/15,11:05,3/6/15,21:05,coastal,"EAC, Brisbane",north,1,-29.04194444,155.8883333,23.3,23.50162534,35.61499407,23.449,5.063649954,EZ01_5,M5,52-11,500,21:56,22:05,970.7,1675.9,705.2
2,3/6/15,13:00,3/6/15,23:00,coastal,"EAC, Brisbane",north,2,-29.13583333,155.8844444,23.28,19.32358998,35.56433824,21.535,4.163472426,EZ02_2,M2,100-50,500,23:10,23:19,0,821.1,821.1
2,3/6/15,13:00,3/6/15,23:00,coastal,"EAC, Brisbane",north,2,-29.13583333,155.8844444,23.28,19.95908195,35.5913532,21.535,4.213425066,EZ02_3,M3,100-50,500,23:24,23:33,0,842.7,842.7
2,3/6/15,13:00,3/6/15,23:00,coastal,"EAC, Brisbane",north,2,-29.13583333,155.8844444,23.28,23.22126881,35.6222563,23.449,4.917524761,EZ02_4,M4,54-10,500,23:36,23:45,0,713.9,713.9
2,3/6/15,13:00,3/6/15,23:00,coastal,"EAC, Brisbane",north,2,-29.13583333,155.8844444,23.28,23.49820084,35.6179623,23.449,5.01547644,EZ02_5,M5,50-10,500,23:49,23:58,1139.4,1783.4,644
3,3/6/15,16:45,4/6/15,2:45,coastal,Coastal/Billow,north,3,-27.60944444,153.7458333,23.23,21.32563046,35.62605617,20.233,4.793787184,EZ03_2,M2,100-52,500,2:55,3:03,0,946.8,946.8
3,3/6/15,16:45,4/6/15,2:45,coastal,Coastal/Billow,north,3,-27.60944444,153.7458333,23.23,21.44894394,35.62618229,20.233,4.847044712,EZ03_3,M3,104-50,500,3:11,3:20,0,856.3,856.3
