Site,Depth,Net,Type,Location,Fixed_In,Tow_Volume,PRE_Scaridae,FLE_Scaridae,POS_Scaridae,PRE_Scorpaenidae,FLE_Scorpaenidae,POS_Scorpaenidae,PRE_Synodontidae,FLE_Synodontidae,POS_Synodontidae,PRE_Labridae,FLE_Labridae,POS_Labridae,PRE_Serranidae,FLE_Serranidae,POS_Serranidae,PRE_Mullidae,FLE_Mullidae,POS_Mullidae,PRE_Pomacentridae,FLE_Pomacentridae,POS_Pomacentridae
1,0,1,coast,north,ethanol,608.2440902,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,1,0,0
1,0,1,coast,north,formalin,608.2440902,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,2,coast,north,ethanol,590.373,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
1,0,2,coast,north,formalin,590.373,1,2,0,0,1,0,0,0,0,2,3,0,3,0,0,1,0,0,1,0,0
1,25,4,coast,north,formalin,657.9,1,1,0,1,0,0,4,0,1,6,3,7,1,2,0,1,0,0,1,1,0
1,25,5,coast,north,ethanol,705.2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0
1,25,5,coast,north,formalin,705.2,0,0,0,3,0,0,3,0,0,4,1,0,1,2,0,1,2,0,5,0,0
1,75,2,coast,north,formalin,793.4,0,0,3,0,0,0,0,0,0,1,3,9,0,1,0,0,0,0,0,0,0
1,75,3,coast,north,ethanol,796.2,0,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
1,75,3,coast,north,formalin,796.2,0,1,1,0,1,0,1,1,0,1,5,2,4,1,1,0,0,0,0,1,0
2,0,1,coast,north,ethanol,566.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2,0,1,coast,north,formalin,566.107,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,2,coast,north,ethanol,491.99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2,0,2,coast,north,formalin,491.99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,25,4,coast,north,formalin,713.9,0,0,3,0,1,0,0,1,1,2,1,5,9,0,0,3,1,1,3,2,2
2,25,5,coast,north,ethanol,644,0,0,0,0,0,0,0,0,1,0,4,5,0,2,0,0,2,2,0,1,0
2,25,5,coast,north,formalin,644,0,0,0,1,1,0,0,0,0,13,4,0,8,0,0,0,2,0,2,0,0
2,75,2,coast,north,formalin,821.1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1
2,75,3,coast,north,ethanol,842.7,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
2,75,3,coast,north,formalin,842.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
