"Developmental Stage (PRE=Preflexion,FLE=Flexion,POS=Postflexion)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Scaridae,,,Scorpaenidae,,,Synodontidae,,,Labridae,,,Serranidae,,,Mullidae,,,Pomacentridae,,,Triglidae,,,Bothidae,,
Site,Depth,Net,Type,Location,Volume,Fixed_In,PRE_Scaridae,FLE_Scaridae,POS_Scaridae,PRE_Scorpaenidae,FLE_Scorpaenidae,POS_Scorpaenidae,PRE_Synodontidae,FLE_Synodontidae,POS_Synodontidae,PRE_Labridae,FLE_Labridae,POS_Labridae,PRE_Serranidae,FLE_Serranidae,POS_Serranidae,PRE_Mullidae,FLE_Mullidae,POS_Mullidae,PRE_Pomacentridae,FLE_Pomacentridae,POS_Pomacentridae,PRE_Triglidae,FLE_Triglidae,POS_Triglidae,PRE_Bothidae,FLE_Bothidae,POS_Bothidae
1,0,1,coast,north,608.2440902,Ethanol,0,0.001644077,0.003288154,0,0,0,0,0.001644077,0,0,0.003288154,0,0,0,0,0,0,0.00493223,0.001644077,0,0,0,0,0,0,0.003288154,0
1,0,1,coast,north,608.2440902,Formalin,0,0,0,0,0,0,0.003288154,0,0,0.001644077,0.001644077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,coast,north,590.373,Ethanol,0,0.001693844,0.001693844,0,0,0,0.001693844,0.001693844,0,0,0,0,0,0,0,0,0,0.003387689,0,0,0,0,0.001693844,0,0.001693844,0,0
1,0,2,coast,north,590.373,Formalin,0.001693844,0.003387689,0,0,0.001693844,0,0,0,0,0.003387689,0.005081533,0,0.005081533,0,0,0.001693844,0,0,0.001693844,0,0,0,0,0,0,0,0
1,25,4,coast,north,657.9,Formalin,0.001519988,0.001519988,0,0.001519988,0,0,0.006079951,0,0.001519988,0.009119927,0.004559964,0.010639915,0.001519988,0.003039976,0,0.001519988,0,0,0.001519988,0.001519988,0,0.003039976,0,0,0.009119927,0,0.001519988
1,25,5,coast,north,705.2,Ethanol,0,0,0,0,0,0,0,0.001418037,0,0,0,0.002836075,0,0,0,0,0.004254112,0,0,0,0,0,0.001418037,0,0,0,0
1,25,5,coast,north,705.2,Formalin,0,0,0,0.004254112,0,0,0.004254112,0,0,0.00567215,0.001418037,0,0.001418037,0.002836075,0,0.001418037,0.002836075,0,0.007090187,0,0,0,0.001418037,0,0.00567215,0,0
1,75,2,coast,north,793.4,Formalin,0,0,0.003781195,0,0,0,0,0,0,0.001260398,0.003781195,0.011343585,0,0.001260398,0,0,0,0,0,0,0,0,0,0,0,0,0
1,75,3,coast,north,796.2,Ethanol,0,0.001255966,0,0,0,0.001255966,0,0,0,0,0.001255966,0.006279829,0,0,0,0,0,0,0,0,0,0,0.001255966,0,0,0,0
1,75,3,coast,north,796.2,Formalin,0,0.001255966,0.001255966,0,0.001255966,0,0.001255966,0.001255966,0,0.001255966,0.006279829,0.002511932,0.005023863,0.001255966,0.001255966,0,0,0,0,0.001255966,0,0,0,0,0,0,0
