photo_id,site,depth,net,preservation_method,family,subgroup,standard_length,caudal_fin_length,stage,damaged,not_calibrated
EZ01_2_F_001_SCA,1,50,2,formalin,scarid,A,6.34,1.22,FLE,,
EZ01_2_F_001_SCA,1,50,2,formalin,scarid,A,5.22,0.53,FLE,,
EZ01_2_F_001_SCA,1,50,2,formalin,scarid,A,5.6,1.05,FLE,,
EZ01_2_F_002_SER,1,50,2,formalin,serranid,A,6.69,0.92,FLE,,
EZ01_2_F_003_LAB,1,50,2,formalin,labrid,A,5.54,0.98,FLE,,
EZ01_2_F_003_LAB,1,50,2,formalin,labrid,B,5.14,0.85,FLE,,
EZ01_2_F_003_LAB,1,50,2,formalin,labrid,A,8.63,0.94,POS,,
EZ01_2_F_003_LAB,1,50,2,formalin,labrid,H,5.57,1.42,POS,,
EZ01_2_F_003_LAB,1,50,2,formalin,labrid,B,4.15,0,PRE,,
EZ01_2_F_003_LAB,1,50,2,formalin,labrid,C,6.52,1.34,FLE,,
EZ01_2_F_003_LAB,1,50,2,formalin,labrid,B,6.24,1.29,POS,,
EZ01_2_F_004_LAB,1,50,2,formalin,labrid,A,9.43,1.9,FLE,,
EZ01_2_F_004_LAB,1,50,2,formalin,labrid,H,7.69,1.82,POS,,
EZ01_2_F_004_LAB,1,50,2,formalin,labrid,B,6.81,1.23,POS,,
EZ01_2_F_004_LAB,1,50,2,formalin,labrid,D,8.35,1.68,POS,,
EZ01_2_F_004_LAB,1,50,2,formalin,labrid,B,5.51,1.22,POS,,
EZ01_2_F_004_LAB,1,50,2,formalin,labrid,B,6.98,0.98,POS,,
EZ01_3_E_001_TRI,1,100,3,ethanol,triglid,A,5.73,1.39,FLE,,
EZ01_3_E_002_SCA,1,100,3,ethanol,scarid,A,5.35,0.8,FLE,,
EZ01_3_E_003_SCO,1,100,3,ethanol,scorpaenid,A,4.33,1.2,FLE,,
EZ01_3_E_004_LAB_SCA,1,100,3,ethanol,labrid,H,5.29,1.54,POS,,
EZ01_3_E_004_LAB_SCA,1,100,3,ethanol,labrid,E,5.33,0.44,FLE,,
EZ01_3_E_004_LAB_SCA,1,100,3,ethanol,labrid,B,4.89,1.09,FLE,,
EZ01_3_E_004_LAB_SCA,1,100,3,ethanol,labrid,NA,6.49,0.27,FLE,TRUE,
EZ01_3_E_004_LAB_SCA,1,100,3,ethanol,labrid,H,4.86,1.37,FLE,,
EZ01_3_E_004_LAB_SCA,1,100,3,ethanol,scarid,A,7.1,0.96,POS,,
EZ01_3_F_001_SER,1,100,3,formalin,serranid,B,5.31,1.33,POS,,
EZ01_3_F_002_SYD,1,100,3,formalin,synodontid,A,4.99,0.34,FLE,,
EZ01_3_F_002_SYD,1,100,3,formalin,synodontid,A,8.54,0.34,POS,,
EZ01_3_F_003_POM,1,100,3,formalin,pomacentrid,A,3.64,0.28,FLE,,
EZ01_3_F_004_SCO,1,100,3,formalin,scorpaenid,A,3.36,0.59,FLE,,
EZ01_3_F_005_SER,1,100,3,formalin,serranid,C,1.81,0,PRE,,
EZ01_3_F_006_SER,1,100,3,formalin,serranid,D,3.6,0,FLE,,
EZ01_3_F_006_SER,1,100,3,formalin,serranid,D,3.14,0,FLE,,
EZ01_3_F_007_SCA,1,100,3,formalin,scarid,A,4.12,0.18,FLE,,
EZ01_3_F_007_SCA,1,100,3,formalin,scarid,A,3.86,0.36,FLE,,
EZ01_3_F_008_SER,1,100,3,formalin,serranid,D,3.99,0.13,FLE,,
EZ01_3_F_008_SER,1,100,3,formalin,serranid,D,3.41,0,PRE,,
EZ01_3_F_009_LAB,1,100,3,formalin,labrid,B,3.79,0.67,FLE,,
EZ01_3_F_009_LAB,1,100,3,formalin,labrid,F,3.18,0,PRE,,
EZ01_3_F_009_LAB,1,100,3,formalin,labrid,B,3.74,0.56,FLE,,
EZ01_3_F_009_LAB,1,100,3,formalin,labrid,H,4.06,1.13,FLE,,
EZ01_3_F_010_LAB,1,100,3,formalin,labrid,A,4.86,1.22,FLE,,
EZ01_3_F_010_LAB,1,100,3,formalin,labrid,B,4.99,0.63,FLE,,
EZ01_3_F_010_LAB,1,100,3,formalin,labrid,G,4.71,0.58,FLE,,
EZ01_3_F_010_LAB,1,100,3,formalin,labrid,H,4.42,0.64,FLE,,
EZ01_4_F_001_LAB,1,50,4,formalin,labrid,E,8.64,1.85,POS,,
EZ01_4_F_001_LAB,1,50,4,formalin,labrid,D,13.01,1.81,POS,,
EZ01_4_F_001_LAB,1,50,4,formalin,labrid,B,7.46,1.55,POS,,
EZ01_4_F_002_LAB,1,50,4,formalin,labrid,H,5.23,0.94,POS,,
EZ01_4_F_002_LAB,1,50,4,formalin,labrid,H,4.56,0.99,FLE,,
