Paper_ID,DOI,Title,Lead_author,Institution,Journal,Published,Motivation,Oceanic_region,Area,Site,Size,System,Years_total,Date_start,Date_end,Run_mode,Yearly_trends_compared,Generic_species,Multiple_species,Species_scientific_name,Species_common_name,Species_type,Geographical_zone,Model_reuse,Model_name,Model_type,Model_movement,Physical_model,Nested_submodels,Model_resolution_min,Model_spatial_shape,Model_depth,Tidal_model_used,Bathymetry_model_used,Model_integration,Model_time_step,Model_time_step_type,Model_diffusion_scheme,Model_diffusion_direction,Model_diffusion_value,PLD_type,PLD_fixed,PLD_variable,PLD_stdev,Spawning_period,Spawning_interval,Spawning_release_sites,Spawning_settlement_sites,Spawning_depth_type,Spawning_depth_value,Spawning_depth_min,Spawning_depth_max,Spawning_initiation,Passive_movement,Diel_vertical_migration,Circatidal_migration,Pynocline_migration,Halocline_migration,Ontogentic_vertical_migration,Vertical_swimming_ability,Horizontal_swimming_ability,Sinking_velocity,Egg_buoyancy,Mortality,Mortality_rate,Mortality_function,Orientation,Orientation_type,Growth,Growth_func,Sensory_ability,Sensory_impl,Sensory_extent,Settlement_competency_window,Settlement_competency_type,Settlement_competency_factor,Settlement_competency_type_start,Settlement_site_type,Settlement_site_size,Particles_spawned_at_individual_type,Particles_spawned_at_individual_site,Particles_spawned_range_min,Particles_spawned_range_max,Particles_spawned_super_individual,Particles_spawned_period,Particles_spawned_total,Replicated_run,Sensitivity_analysis,Statistical_methods_used,Empirically_coupled,Dispersal_kernel,Temporal_kernel,Accumulation_kernel,Partial_summation,Minimum_arrival_time,Mean_distance,Median_distance,Distance_travelled_mean,Trajectory_travelled_mean,Distance_travelled_stdev,Distance_travelled_median,Direction_mean,Depth_mean,Distance_travelled_upper_quantile,Distance_travelled_max,Biophysical_matrix,Travel_time_mean,Isotropy,Positive_area,Seeded_area,Centre_of_mass,Aggregation_index,Mean_length,Connectance,Proportion_sites_settled,Connections_total,Connected_clusters_total,Connected_clusters_largest_size,Cross_shore_connectivity,Dispersion_index,Connectivity_metrics_potential,Connectivity_matrix_realised,Local_retention,Local_retention_mean,Local_retention_max,Self_recruitment,Self_recruitment_mean,Self_recruitment_max,Settlement_success,Settlement_success_mean,Settlement_success_min,Directional_exchange_rate,Export_probability,Source_sink_indicies,Graph_theory,Survived_%,,,,,
1,10.1111/ddi.12250,Additive effects of climate change on connectivity between marine protected areas and larval supply to fished areas ,Andrello M,Marseille Universite,Diversity and Distributions,2015,CC,Mediterranean Sea,Europe,Mediterranean Sea,Large,Closed,130,1970,2099,Forecast,Between,FALSE,FALSE,Epinephelus marginatus,Dusky grouper,Fish,Temperate,TRUE,Ichthyop,IBM,L,NEMOMED8,FALSE,9,Grid,150,FALSE,FALSE,RK4,3600,Fixed,Random walk,Horizontal,187,Fixed,10,NA,NA,1 July - 15 September,1 July - 15 September,99,99,Fixed,0.2,0.2,0.2,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,Constant,FALSE,NA,NA,TRUE,Variable,Size,NA,MPA,NA,Fixed,10000,NA,NA,FALSE,Annual,1300000,FALSE,TRUE,Regression,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,78.2,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,0.73,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
1,10.1111/ddi.12250,Additive effects of climate change on connectivity between marine protected areas and larval supply to fished areas ,Andrello M,Marseille Universite,Diversity and Distributions,2015,CC,Mediterranean Sea,Europe,Mediterranean Sea,Large,Closed,130,1970,2099,Forecast,Between,FALSE,FALSE,Epinephelus marginatus,Dusky grouper,Fish,Temperate,TRUE,Ichthyop,IBM,L,NEMOMED8,FALSE,9,Grid,150,FALSE,FALSE,RK4,3600,Fixed,Random walk,Horizontal,187,Fixed,10,NA,NA,1 July - 15 September,1 July - 15 September,99,99,Fixed,0.2,0.2,0.2,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,Temperature,FALSE,NA,NA,TRUE,Variable,Size,NA,MPA,NA,Fixed,10000,NA,NA,FALSE,Annual,1300000,FALSE,TRUE,Regression,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,75.7,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,0.726,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
1,10.1111/ddi.12250,Additive effects of climate change on connectivity between marine protected areas and larval supply to fished areas ,Andrello M,Marseille Universite,Diversity and Distributions,2015,CC,Mediterranean Sea,Europe,Mediterranean Sea,Large,Closed,130,1970,2099,Forecast,Between,FALSE,FALSE,Epinephelus marginatus,Dusky grouper,Fish,Temperate,TRUE,Ichthyop,IBM,L,NEMOMED8,FALSE,9,Grid,150,FALSE,FALSE,RK4,3600,Fixed,Random walk,Horizontal,187,Fixed,10,NA,NA,1 July - 15 September,1 July - 15 September,99,99,Fixed,0.2,0.2,0.2,Temperature,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,Constant,FALSE,NA,NA,TRUE,Variable,Size,NA,MPA,NA,Fixed,10000,NA,NA,FALSE,Annual,1300000,FALSE,TRUE,Regression,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,91.1,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,0.75,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
1,10.1111/ddi.12250,Additive effects of climate change on connectivity between marine protected areas and larval supply to fished areas ,Andrello M,Marseille Universite,Diversity and Distributions,2015,CC,Mediterranean Sea,Europe,Mediterranean Sea,Large,Closed,130,1970,2099,Forecast,Between,FALSE,FALSE,Epinephelus marginatus,Dusky grouper,Fish,Temperate,TRUE,Ichthyop,IBM,L,NEMOMED8,FALSE,9,Grid,150,FALSE,FALSE,RK4,3600,Fixed,Random walk,Horizontal,187,Fixed,10,NA,NA,1 July - 15 September,1 July - 15 September,99,99,Fixed,0.2,0.2,0.2,Temperature,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,TRUE,Temperature,FALSE,NA,NA,TRUE,Variable,Size,NA,MPA,NA,Fixed,10000,NA,NA,FALSE,Annual,1300000,FALSE,TRUE,Regression,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,88.4,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,0.743,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
2,10.7717/peerj.511 ,Asymmetric connectivity of spawning aggregations of a commercially important marine fish using a multidisciplinary approach ,Munguia-Vega A,PANGAS Science Coordination ,PeerJ,2014,MP,Gulf of California,Gulf of California,Midriff Islands,Medium,Closed,1,2007,2007,Forecast,NA,FALSE,FALSE,Mycteroperca rosacea,Leopard grouper,Fish,Temperate,TRUE,Proehl et al 2004,IBM,L,HAMSOM,FALSE,1.31,Grid,4000,TRUE,TRUE,NA,300,Fixed,Random walk,Both,100,Fixed,14,NA,NA,May-June,Neap & Spring Tides,17,17,Fixed,NA,NA,NA,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,Coastal Regions,NA,Fixed,4000,NA,NA,FALSE,Tidal,544000,FALSE,FALSE,Regression,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.14,0.54,TRUE,0.023,NA,FALSE,0.5513,NA,FALSE,TRUE,TRUE,TRUE,,,,,,
2,10.7717/peerj.511 ,Asymmetric connectivity of spawning aggregations of a commercially important marine fish using a multidisciplinary approach ,Munguia-Vega A,PANGAS Science Coordination ,PeerJ,2014,MP,Gulf of California,Gulf of California,Midriff Islands,Medium,Closed,1,2007,2007,Forecast,NA,FALSE,FALSE,Mycteroperca rosacea,Leopard grouper,Fish,Temperate,TRUE,Proehl et al 2004,IBM,L,HAMSOM,FALSE,1.31,Grid,4000,TRUE,TRUE,NA,300,Fixed,Random walk,Both,100,Fixed,21,NA,NA,May-June,Neap & Spring Tides,17,17,Fixed,NA,NA,NA,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,Coastal Regions,NA,Fixed,4000,NA,NA,FALSE,Tidal,544000,FALSE,FALSE,Regression,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,TRUE,NA,NA,FALSE,0.4807,NA,FALSE,TRUE,TRUE,TRUE,,,,,,
2,10.7717/peerj.511 ,Asymmetric connectivity of spawning aggregations of a commercially important marine fish using a multidisciplinary approach ,Munguia-Vega A,PANGAS Science Coordination ,PeerJ,2014,MP,Gulf of California,Gulf of California,Midriff Islands,Medium,Closed,1,2007,2007,Forecast,NA,FALSE,FALSE,Mycteroperca rosacea,Leopard grouper,Fish,Temperate,TRUE,Proehl et al 2004,IBM,L,HAMSOM,FALSE,1.31,Grid,4000,TRUE,TRUE,NA,300,Fixed,Random walk,Both,100,Fixed,28,NA,NA,May-June,Neap & Spring Tides,17,17,Fixed,NA,NA,NA,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,Coastal Regions,NA,Fixed,4000,NA,NA,FALSE,Tidal,544000,FALSE,FALSE,Regression,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.08,0.24,TRUE,0.014,NA,FALSE,0.4203,NA,FALSE,TRUE,TRUE,TRUE,,,,,,
3,10.3354/meps08878,Behaviour constrains the dispersal of long-lived spiny lobster larvae,Butler MJ,Old Dominion University,Marine Ecology Progress Series,2011,DS,Carribean Sea,Caribbean,Mesoamerican region of the Caribbean Sea,Large,Open,2,2003,2004,Forecast,Within,FALSE,FALSE,Panulirus argus ,Spiny lobster,Crustacean,Tropical,TRUE,CMS,IBM,L,HYCOM,FALSE,7,Grid,100,FALSE,TRUE,RK4,7200,Fixed,Random walk,Both,NA,Variable,174,Gaussian,22,"June, January",2 Times,13,261,Variable,NA,0,20,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.1,Linear,FALSE,NA,FALSE,NA,TRUE,Buffer,18,TRUE,Fixed,NA,152,Coral Reef ,0.5,Fixed,500,NA,NA,FALSE,Twice,13000,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,952,NA,650,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
3,10.3354/meps08878,Behaviour constrains the dispersal of long-lived spiny lobster larvae,Butler MJ,Old Dominion University,Marine Ecology Progress Series,2011,DS,Carribean Sea,Caribbean,Mesoamerican region of the Caribbean Sea,Large,Open,2,2003,2004,Forecast,Within,FALSE,FALSE,Panulirus argus ,Spiny lobster,Crustacean,Tropical,TRUE,CMS,IBM,L,HYCOM,FALSE,7,Grid,100,FALSE,TRUE,RK4,7200,Fixed,Random walk,Both,NA,Variable,174,Gaussian,22,"June, January",2 Times,13,261,Variable,NA,0,20,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.1,Linear,FALSE,NA,FALSE,NA,TRUE,Buffer,18,TRUE,Fixed,NA,152,Coral Reef ,0.5,Fixed,500,NA,NA,FALSE,Twice,13000,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,370,NA,110,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,,,,,,
4,10.1086/665992 ,"Changing Seascapes, Stochastic Connectivity, and Marine Metapopulation Dynamics ",Watson JR,Princeton University,The American Naturalist,2012,TH,Southern California Bight,USA,Southern California Bight,Medium,Open,7,1996,2002,Forecast,Both,FALSE,FALSE,Paralabrax clathratus,Kelp bass,Fish,Temperate,FALSE,NA,IBM,L,ROMS,FALSE,1,Grid,2000,FALSE,FALSE,"Adams-Bashford, Adams-Moulton",900,Fixed,NA,NA,NA,Fixed,30,NA,NA,All year,12 hr,135,135,Fixed,NA,NA,NA,Fixed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,Release Sites,5,NA,NA,NA,NA,FALSE,Varied,50000000,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,TRUE,,,,,,
