fish,layer,depth,preflexion,flexion,postflexion
pomacentridae,surface,0,0.4,0.35,0.05
pomacentridae,middle,25,0.5,0.5,0.85
pomacentridae,deep,75,0.1,0.15,0.1
labridae,surface,0,0.275,0.25,0.35
labridae,middle,25,0.65,0.55,0.4
labridae,deep,75,0.075,0.2,0.25
scorpanidae,surface,0,0.425,0.1,0.1
scorpanidae,middle,25,0.525,0.65,0.5
scorpanidae,deep,75,0.05,0.25,0.4
synodontidae,surface,0,0.15,0.25,0.15
synodontidae,middle,25,0.55,0.55,0.65
synodontidae,deep,75,0.3,0.2,0.2
mullidae,surface,0,0.5,0.5,0.65
mullidae,middle,25,0.475,0.375,0.225
mullidae,deep,75,0.025,0.125,0.125
scaridae,surface,0,0.6,0.35,0.3
scaridae,middle,25,0.3,0.425,0.5
scaridae,deep,75,0.1,0.225,0.2
serranidae,surface,0,0.45,0.275,0.1
serranidae,middle,25,0.45,0.35,0.3
serranidae,deep,75,0.1,0.375,0.6
