HABITAT,PATCH_NUM,REGION,,,,,,,,,,
Reef,1,QLD,,,,,,,,,,
Other,2,QLD,,,,,,,,,,
Reef,3,QLD,,,,,,,,,,
Other,4,QLD,,,,,,,,,,
Reef,5,QLD,,,,,,,,,,
Reef,6,QLD,,,,,,,,,,
Other,7,QLD,,,,,,,,,,
Other,8,QLD,,,,,,,,,,
Reef,9,QLD,,,,,,,,,,
Reef,10,QLD,,,,,,,,,,
Other,11,QLD,,,,,,,,,,
Other,12,QLD,,,,,,,,,,
Reef,13,QLD,,,,,,,,,,
Reef,14,QLD,,,,,,,,,,
Other,15,QLD,,,,,,,,,,
Reef,16,QLD,,,,,,,,,,
Reef,17,QLD,,,,,,,,,,
Other,18,QLD,,,,,,,,,,
Reef,19,QLD,,,,,,,,,,
Other,20,QLD,,,,,,,,,,
Reef,21,QLD,,,,,,,,,,
Other,22,QLD,,,,,,,,,,
Reef,23,QLD,,,,,,,,,,
Other,24,QLD,,,,,,,,,,
Reef,25,QLD,,,,,,,,,,
Other,26,QLD,,,,,,,,,,
Reef,27,QLD,,,,,,,,,,
Other,28,QLD,,,,,,,,,,
Other,29,QLD,,,,,,,,,,
Reef,30,QLD,,,,,,,,,,
Reef,31,QLD,,,,,,,,,,
Reef,32,QLD,,,,,,,,,,
Other,33,QLD,,,,,,,,,,
Other,34,QLD,,,,,,,,,,
Reef,35,QLD,,,,,,,,,,
Other,36,QLD,,,,,,,,,,
Reef,37,QLD,,,,,,,,,,
Other,38,QLD,,,,,,,,,,
Reef,39,QLD,,,,,,,,,,
Reef,40,QLD,,,,,,,,,,
Other,41,QLD,,,,,,,,,,
Other,42,QLD,,,,,,,,,,
Reef,43,QLD,,,,,,,,,,
Other,44,QLD,,,,,,,,,,
Reef,45,QLD,,,,,,,,,,
Reef,46,QLD,,,,,,,,,,
Other,47,QLD,,,,,,,,,,
Other,48,QLD,,,,,,,,,,
Reef,49,QLD,,,,,,,,,,
Reef,50,QLD,,,,,,,,,,
Other,51,QLD,,,,,,,,,,
Other,52,QLD,,,,,,,,,,
Reef,53,QLD,,,,,,,,,,
Other,54,QLD,,,,,,,,,,
Reef,55,QLD,,,,,,,,,,
Other,56,QLD,,,,,,,,,,
Reef,57,QLD,,,,,,,,,,
Other,58,QLD,,,,,,,,,,
Reef,59,QLD,,,,,,,,,,
Other,60,QLD,,,,,,,,,,
Reef,61,QLD,,,,,,,,,,
Other,62,QLD,,,,,,,,,,
Reef,63,QLD,,,,,,,,,,
Other,64,QLD,,,,,,,,,,
Reef,65,QLD,,,,,,,,,,
Reef,66,QLD,,,,,,,,,,
Other,67,QLD,,,,,,,,,,
Reef,68,QLD,,,,,,,,,,
Other,69,QLD,,,,,,,,,,
Reef,70,QLD,,,,,,,,,,
Other,71,QLD,,,,,,,,,,
Other,72,QLD,,,,,,,,,,
Reef,73,QLD,,,,,,,,,,
Other,74,QLD,,,,,,,,,,
Reef,75,QLD,,,,,,,,,,
Other,76,QLD,,,,,,,,,,
Reef,77,QLD,,,,,,,,,,
Reef,78,QLD,,,,,,,,,,
Other,79,QLD,,,,,,,,,,
Reef,80,QLD,,,,,,,,,,
Other,81,QLD,,,,,,,,,,
Other,82,QLD,,,,,,,,,,
Reef,83,QLD,,,,,,,,,,
Other,84,QLD,,,,,,,,,,
Reef,85,QLD,,,,,,,,,,
Reef,86,QLD,,,,,,,,,,
Other,87,QLD,,,,,,,,,,
Reef,88,QLD,,,,,,,,,,
Other,89,QLD,,,,,,,,,,
Reef,90,QLD,,,,,,,,,,
Reef,91,QLD,,,,,,,,,,
Other,92,QLD,,,,,,,,,,
Reef,93,QLD,,,,,,,,,,
Other,94,QLD,,,,,,,,,,
Other,95,QLD,,,,,,,,,,
Reef,96,QLD,,,,,,,,,,
Reef,97,QLD,,,,,,,,,,
Other,98,QLD,,,,,,,,,,
Other,99,QLD,,,,,,,,,,
Reef,100,QLD,,,,,,,,,,
Reef,101,QLD,,,,,,,,,,
Reef,102,QLD,,,,,,,,,,
Reef,103,QLD,,,,,,,,,,
Other,104,QLD,,,,,,,,,,
Reef,105,QLD,,,,,,,,,,
Other,106,QLD,,,,,,,,,,
Reef,107,QLD,,,,,,,,,,
Reef,108,QLD,,,,,,,,,,
Other,109,QLD,,,,,,,,,,
Other,110,QLD,,,,,,,,,,
Reef,111,QLD,,,,,,,,,,
Reef,112,QLD,,,,,,,,,,
Reef,113,QLD,,,,,,,,,,
Other,114,QLD,,,,,,,,,,
Reef,115,QLD,,,,,,,,,,
Other,116,QLD,,,,,,,,,,
Other,117,QLD,,,,,,,,,,
Reef,118,QLD,,,,,,,,,,
Reef,119,QLD,,,,,,,,,,
Other,120,QLD,,,,,,,,,,
Other,121,QLD,,,,,,,,,,
Reef,122,QLD,,,,,,,,,,
Reef,123,QLD,,,,,,,,,,
Reef,124,QLD,,,,,,,,,,
Other,125,QLD,,,,,,,,,,
Reef,126,QLD,,,,,,,,,,
Other,127,QLD,,,,,,,,,,
Other,128,QLD,,,,,,,,,,
Reef,129,QLD,,,,,,,,,,
Reef,130,QLD,,,,,,,,,,
Other,131,QLD,,,,,,,,,,
Reef,132,QLD,,,,,,,,,,
Reef,133,QLD,,,,,,,,,,
Other,134,QLD,,,,,,,,,,
Other,135,QLD,,,,,,,,,,
Reef,136,QLD,,,,,,,,,,
Reef,137,QLD,,,,,,,,,,
Other,138,QLD,,,,,,,,,,
Reef,139,QLD,,,,,,,,,,
Other,140,QLD,,,,,,,,,,
Reef,141,QLD,,,,,,,,,,
Reef,142,QLD,,,,,,,,,,
Other,143,QLD,,,,,,,,,,
Reef,144,QLD,,,,,,,,,,
Reef,145,QLD,,,,,,,,,,
Other,146,QLD,,,,,,,,,,
Reef,147,QLD,,,,,,,,,,
Reef,148,QLD,,,,,,,,,,
Other,149,QLD,,,,,,,,,,
Reef,150,QLD,,,,,,,,,,
Other,151,QLD,,,,,,,,,,
Reef,152,QLD,,,,,,,,,,
Other,153,QLD,,,,,,,,,,
Reef,154,QLD,,,,,,,,,,
Other,155,QLD,,,,,,,,,,
Reef,156,QLD,,,,,,,,,,
Other,157,QLD,,,,,,,,,,
Other,158,QLD,,,,,,,,,,
Reef,159,QLD,,,,,,,,,,
Other,160,QLD,,,,,,,,,,
Reef,161,QLD,,,,,,,,,,
Reef,162,QLD,,,,,,,,,,
Other,163,QLD,,,,,,,,,,
Reef,164,QLD,,,,,,,,,,
Other,165,QLD,,,,,,,,,,
Other,166,QLD,,,,,,,,,,
Reef,167,QLD,,,,,,,,,,
Other,168,QLD,,,,,,,,,,
Reef,169,QLD,,,,,,,,,,
Reef,170,QLD,,,,,,,,,,
Other,171,QLD,,,,,,,,,,
Other,172,QLD,,,,,,,,,,
Reef,173,QLD,,,,,,,,,,
Other,174,QLD,,,,,,,,,,
Reef,175,QLD,,,,,,,,,,
Reef,176,QLD,,,,,,,,,,
Other,177,QLD,,,,,,,,,,
Other,178,QLD,,,,,,,,,,
Reef,179,QLD,,,,,,,,,,
Other,180,QLD,,,,,,,,,,
Reef,181,QLD,,,,,,,,,,
Other,182,QLD,,,,,,,,,,
Reef,183,QLD,,,,,,,,,,
